Nama_Obat,Zat_Aktif
CEFTAZIDIME PENTAHYDRATE,CEFTAZIDIME PENTAHYDRATE BUFFERED WITH SODIUM CARBONATE
BLOMER,KOMBINASI-OMEPRAZOLE SODIUM MONOHYDRATE (LYOPHILIZED)
OMEPRAZOLE SODIUM MONOHYDRATE,KOMBINASI-OMEPRAZOLE SODIUM MONOHYDRATE (LYOPHILIZED)
CIPROFLOXACIN LACTATE MONOHYDRATE,CIPROFLOXACIN LACTATE MONOHYDRATE
BUPIVACAINE HCL MONOHYDRATE SPINAL HEAVY,BUPIVACAINE HYDROCHLORIDE MONOHYDRATE
BUPIVACAINE HCL MONOHYDRATE SPINAL HEAVY,DEXTROSE ANHYDRATE
AMBROXOL HCL,AMBROXOL HYDROCHLORIDE
PANTOPRAZOLE SODIUM SESQUIHYDRATE,PANTOPRAZOLE SODIUM SESQUIHYDRATE (LYOPHILIZED)
PANTOTUM,PANTOPRAZOLE SODIUM SESQUIHYDRATE (LYOPHILIZED)
METHYLPREDNISOLONE SODIUM SUCCINATE,KOMBINASI-METHYLPREDNISOLONE SODIUM SUCCINATE
METHYLPREDNISOLONE SODIUM SUCCINATE,PHOSPHATE BUFFER 3 LYOPHILLIZED
DOBUTAMINE HYDROCHLORIDE,DOBUTAMINE HYDROCHLORIDE
RANITIDINE HCL,RANITIDINE HYDROCHLORIDE
ONDANSETRON HCL DIHYDRATE,ONDANSETRON HYDROCHLORIDE DIHYDRATE
CEFIXIME TRIHYDRATE,CEFIXIME TRIHYDRATE
ONDANSETRON HYDROCHLORIDE DIHYDRATE,ONDANSETRON HYDROCHLORIDE DIHYDRATE
CEFTRIAXONE SODIUM SESQUATERHYDRATE,CEFTRIAXONE SODIUM SESQUATERHYDRATE
LIDOCAINE HCL MONOHYDRATE,LIDOCAINE HYDROCHLORIDE MONOHYDRATE
ROSUPID,ROSUVASTATIN CALCIUM
HYDROCORTISONE ACETATE,HYDROCORTISONE ACETATE
IG VENA 5%,HUMAN NORMAL IMMUNOGLOBULIN
STARMAG DOUBLE IMPACT,FAMOTIDINE
STARMAG DOUBLE IMPACT,CALCIUM CARBONATE
STARMAG DOUBLE IMPACT,MAGNESIUM HYDROXIDE
FORGESIC,TRAMADOL HYDROCHLORIDE
WATER FOR INJECTION,WATER FOR INJECTION
RENDAPID,SIMVASTATIN
AZITHROMYCIN DIHYDRATE,AZITHROMYCIN DIHYDRATE
TRANEXAMIC ACID,TRANEXAMIC ACID
MEFENAMIC ACID,MEFENAMIC ACID
DEXAMETHASONE,DEXAMETHASONE
BENODEX,DEXAMETHASONE
ACEPRESS,CAPTOPRIL
FLUDIS,FLUCONAZOLE
METOLON,METOCLOPRAMIDE HYDROCHLORIDE MONOHYDRATE
CEFTIZOXIME SODIUM,CEFTIZOXIME SODIUM
BENOCETAM,PIRACETAM
BROXAL,AMBROXOL HYDROCHLORIDE
GLUCORYL,GLIMEPIRIDE
GLIMEPIRIDE,GLIMEPIRIDE
BENOSON,BETAMETHASONE
SINRAL,FLUNARIZINE HYDROCHLORIDE
BUCAIN SPINAL HEAVY,BUPIVACAINE HYDROCHLORIDE MONOHYDRATE
BUCAIN SPINAL HEAVY,DEXTROSE ANHYDRATE
KETOPROFEN LYSINE,KETOPROFEN LYSINE
COTRIMOXAZOLE,SULFAMETHOXAZOLE
COTRIMOXAZOLE,TRIMETHOPRIM
SULTRIMMIX,SULFAMETHOXAZOLE
SULTRIMMIX,TRIMETHOPRIM
ALXIL,CEFADROXIL MONOHYDRATE
BENOSTAN,MEFENAMIC ACID
FUNGISTOP,GRISEOFULVIN
GORED,GLICLAZIDE
NIMODIPINE,NIMODIPINE
NIMOX,NIMODIPINE
SULTRIMMIX DS,SULFAMETHOXAZOLE
SULTRIMMIX DS,TRIMETHOPRIM
ANITID,RANITIDINE HYDROCHLORIDE
FLUNARIZINE HCL,FLUNARIZINE HYDROCHLORIDE
VERTIZINE,CINNARIZINE
RISPERIDONE,RISPERIDONE
RESPIREX,RISPERIDONE
METOCLOPRAMIDE HCL MONOHYDRATE,METOCLOPRAMIDE HYDROCHLORIDE MONOHYDRATE
BIOGASTRON,DRIED ALUMINIUM HYDROXIDE GEL
BIOGASTRON,MAGNESIUM TRISILICATE
BIOGASTRON,SIMETHICONE
METHYLPREDNISOLONE,METHYLPREDNISOLONE
LEVOVID,LEVOFLOXACIN HEMIHYDRATE
CILOSTAZOL,CILOSTAZOL
STAZOL,CILOSTAZOL
CANDEPRESS,CANDESARTAN CILEXETIL
PROSON,BETAMETHASONE DIPROPIONATE
SULBACEF,CEFOPERAZONE SODIUM
SULBACEF,SULBACTAM SODIUM
SULBACEF,CEFOPERAZONE 500 MG
SULBACEF,SULBACTAM 500
METFORMIN HCL,METFORMIN HYDROCHLORIDE
BENOFOMIN,METFORMIN HYDROCHLORIDE
CEFABIOTIC,CEFALEXIN MONOHYDRATE
LISINOPRIL DIHYDRATE,LISINOPRIL DIHYDRATE
IMATAX,IMATINIB MESILATE
TIRDICEF,CEFOTAXIME SODIUM
MEROPEX,MEROPENEM TRIHYDRATE BUFFERED SODIUM CARBONATE
GLICLAZIDE,GLICLAZIDE
SIDIADRYL EXPECTORANT,DIPHENHYDRAMINE HYDROCHLORIDE
SIDIADRYL EXPECTORANT,AMMONIUM CHLORIDE
NOMESIS,DOMPERIDONE MALEATE
TOCEF,CEFIXIME TRIHYDRATE
LIDODEX,LIDOCAINE HYDROCHLORIDE MONOHYDRATE
INHITRIL,LISINOPRIL DIHYDRATE
DIPHENHYDRAMINE HCL,DIPHENHYDRAMINE HYDROCHLORIDE
PARAMOL,PARACETAMOL
CEFOTIAM HCL,KOMBINASI-CEFOTIAM DIHYDROCHLORIDE BUFFERED WITH SODIUM CARBONATE
SULBENICILLIN SODIUM,SULBENICILLIN SODIUM
THIAMPHENICOL,THIAMPHENICOL
TARONTAL,PENTOXIFYLLINE
ANTIDIA,LOPERAMIDE HYDROCHLORIDE
BENOSON,BETAMETHASONE VALERATE
MOXIFLOXACIN HCL,MOXIFLOXACIN HYDROCHLORIDE
MOXIVID,MOXIFLOXACIN HYDROCHLORIDE
CLOPIDOGREL BISULFATE,CLOPIDOGREL BISULFATE
ANTROZOL,ANASTROZOLE
CLINDAMYCIN HCL,CLINDAMYCIN HYDROCHLORIDE
BENOSON N,BETAMETHASONE VALERATE
BENOSON N,NEOMYCIN SULFATE
KLIRAN,ONDANSETRON HYDROCHLORIDE DIHYDRATE
DEXAMETHASONE SODIUM PHOSPHATE,DEXAMETHASONE SODIUM PHOSPHATE
BENODEX,DEXAMETHASONE SODIUM PHOSPHATE
METHYLON,KOMBINASI-METHYLPREDNISOLONE SODIUM SUCCINATE
METHYLON,PHOSPHATE BUFFER 3 LYOPHILLIZED
POLARIST,DEXCHLORPHENIRAMINE MALEATE
SILABAT,PARACETAMOL
SILABAT,CHLORPHENAMINE MALEATE
SILABAT,GUAIFENESIN
SILABAT,PSEUDOEPHEDRINE HYDROCHLORIDE
PREGAPAIN,PREGABALIN
FENOFIBRATE,FENOFIBRATE
FELOSMA,FENOFIBRATE
CEFOPERAZONE SODIUM,CEFOPERAZONE SODIUM
PICYN,AMPICILLIN SODIUM
PICYN,SULBACTAM SODIUM
PICYN,AMPICILLIN 500 MG
PICYN,SULBACTAM
IMIPEX,KOMBINASI-IMIPENEM MONOHYDRATE
IMIPEX,CILASTATIN SODIUM
PHYTOMENADIONE,PHYTOMENADIONE
PHYDION,PHYTOMENADIONE
BERTHYCO,MECOBALAMIN
CLINBERCIN,CLINDAMYCIN HYDROCHLORIDE
BENOXURIC,ALLOPURINOL
BENOSON M,BETAMETHASONE VALERATE
BENOSON M,MICONAZOLE NITRATE
GARABIOTIC,GENTAMICIN SULFATE
KANESOL,MICONAZOLE NITRATE
MOTADERM,MOMETASONE FUROATE
KLINSET,LORATADINE
PARAMOL FORTE,PARACETAMOL
URETIC,FUROSEMIDE
VIRPES,ACICLOVIR
NEVRADIN E,THIAMINE MONONITRATE
NEVRADIN E,PYRIDOXINE HYDROCHLORIDE
NEVRADIN E,CYANOCOBALAMIN
NEVRADIN E,TOCOPHERYL ACETATE
AMPICILLIN SODIUM,AMPICILLIN SODIUM
LOVASK,AMLODIPINE BESILATE
NEVRADIN,THIAMINE MONONITRATE
NEVRADIN,PYRIDOXINE HYDROCHLORIDE
NEVRADIN,CYANOCOBALAMIN
EXOVON,BROMHEXINE HYDROCHLORIDE
METHYLON,METHYLPREDNISOLONE
AMOBIOTIC,AMOXICILLIN TRIHYDRATE
AMOBIOTIC DS,AMOXICILLIN TRIHYDRATE
FENAREN,DICLOFENAC SODIUM
IOHEXOL,IOHEXOL
HEXIOL,IOHEXOL
OMBERZOL,KOMBINASI-OMEPRAZOLE PELLET 8.5
ROCURONIUM BROMIDE,ROCURONIUM BROMIDE
BELNIUM,ROCURONIUM BROMIDE
KETOPROFEN,KETOPROFEN
REMATOF,KETOPROFEN
BERNOFLOX,CIPROFLOXACIN LACTATE MONOHYDRATE
ZISTIC,KOMBINASI-AZITHROMYCIN DIHYDRATE STERILE LYOPHILIZED
BERZIN,CETIRIZINE HYDROCHLORIDE
FLUKID,PSEUDOEPHEDRINE HYDROCHLORIDE
FLUKID,CHLORPHENAMINE MALEATE
KONTRABAT,PARACETAMOL
KONTRABAT,GUAIFENESIN
KONTRABAT,DIPHENHYDRAMINE HYDROCHLORIDE
KONTRABAT,DEXTROMETHORPHAN HYDROBROMIDE MONOHYDRATE
LIDOX 2%,LIDOCAINE HYDROCHLORIDE MONOHYDRATE
MACEF,CEFEPIME HYDROCHLORIDE BUFFERED WITH ARGININE
MELOXICAM,MELOXICAM
MEVILOX,MELOXICAM
PANTOTIS,PANTOPRAZOLE SODIUM SESQUIHYDRATE (LYOPHILIZED)
DOBUTAX,DOBUTAMINE HYDROCHLORIDE
DOBUTAMINE HCL,DOBUTAMINE HYDROCHLORIDE
PICYN,AMPICILLIN 1000 MG
TIOPOL,THIOPENTAL SODIUM WITH SODIUM CARBONATE
MOMETASONE FUROATE,MOMETASONE FUROATE
MICONAZOLE NITRATE,MICONAZOLE NITRATE
NYSTATIN,NYSTATIN
ATOPID,ATORVASTATIN CALCIUM TRIHYDRATE
RANITIDINE HYDROCHLORIDE,RANITIDINE HYDROCHLORIDE
SELBIX,BISOPROLOL FUMARATE
KEDRIALB,HUMAN ALBUMIN
ACYSTEIN,ACETYLCYSTEINE
TROLAC,KETOROLAC TROMETAMOL
METROX,METRONIDAZOLE
BERSOL,CLOBETASOL PROPIONATE
LANSOPRAZOLE,KOMBINASI-LANSOPRAZOLE PELLETS
SULCOLON,SULFASALAZINE
INHIPRAZ,KOMBINASI-LANSOPRAZOLE PELLETS
PHENOBIOTIC,THIAMPHENICOL
REMATOF,KETOPROFEN LYSINE
TRANXA,TRANEXAMIC ACID
METAMIZOLE SODIUM MONOHYDRATE,METAMIZOLE SODIUM MONOHYDRATE
NOREPINEPHRINE BITARTRATE MONOHYDRATE,NOREPINEPHRINE BITARTRATE MONOHYDRATE
ANAFEN,IBUPROFEN
INHAVENT,SALBUTAMOL SULFATE
INHAVENT,IPRATROPIUM BROMIDE MONOHYDRATE
FUROSEMIDE,FUROSEMIDE
SODIUM VALPROATE,SODIUM VALPROATE
ANGISIS,NYSTATIN
EPERISONE HYDROCHLORIDE,EPERISONE HYDROCHLORIDE
EPESONE,EPERISONE HYDROCHLORIDE
KONTRACID DOUBLE IMPACT,FAMOTIDINE
KONTRACID DOUBLE IMPACT,CALCIUM CARBONATE
KONTRACID DOUBLE IMPACT,MAGNESIUM HYDROXIDE
RIFAMPICIN,RIFAMPICIN
RIFABIOTIC,RIFAMPICIN
BRALIN,CITICOLINE SODIUM
SIDIADRYL,DIPHENHYDRAMINE HYDROCHLORIDE
BENOSON-G,BETAMETHASONE VALERATE
BENOSON-G,GENTAMICIN SULFATE
ZINC SULFATE MONOHYDRATE,ZINC SULFATE MONOHYDRATE
DIAKIDS,ZINC SULFATE MONOHYDRATE
ECOTRIXON,CEFTRIAXONE SODIUM SESQUATERHYDRATE
CLOBETASOL PROPIONATE,CLOBETASOL PROPIONATE
BERNOFLOX,CIPROFLOXACIN HCL MONOHYDRATE
CIPROFLOXACIN HCL MONOHYDRATE,CIPROFLOXACIN HCL MONOHYDRATE
CLOVIAR,VALACICLOVIR HYDROCHLORIDE DIHYDRATE
TRACHON,KOMBINASI-ITRACONAZOLE PELLET 22.0%
GENTAMICIN SULFATE,GENTAMICIN SULFATE
ITRACONAZOLE,KOMBINASI-ITRACONAZOLE PELLET 22.0%
BENOSTAMIN,DEXAMETHASONE
BENOSTAMIN,DEXCHLORPHENIRAMINE MALEATE
KONTRAFEN,PARACETAMOL
KONTRAFEN,IBUPROFEN
AZITHROMYCIN DIHYDRATE,KOMBINASI-AZITHROMYCIN TASTE MASKING GRANULE 15
ZISTIC,KOMBINASI-AZITHROMYCIN TASTE MASKING GRANULE 15
NIZORAL,KETOCONAZOLE
IMODIUM,LOPERAMIDE HYDROCHLORIDE
TEMPRA FORTE (BUBBLEGUM),PARACETAMOL
STUGERON,CINNARIZINE
MOTILIUM,DOMPERIDONE
MYCO-Z,NYSTATIN
MYCO-Z,ZINC OXIDE
KENACORT,TRIAMCINOLONE
KENACORT A,TRIAMCINOLONE ACETONIDE
DAKTARIN,MICONAZOLE NITRATE
VERMOX,MEBENDAZOLE
MYCOSTATIN,NYSTATIN
TEMPRA (RASA ANGGUR),PARACETAMOL
KENALOG IN ORABASE,TRIAMCINOLONE ACETONIDE
COUNTERPAIN PXM,PIROXICAM
COUNTERPAIN PXM,METHYL SALICYLATE
COUNTERPAIN PXM,MENTHOL
COUNTERPAIN PXM,EUGENOL
TEMPRA FORTE (RASA ORANGE),PARACETAMOL
THERAGRAN-M,RETINOL ACETATE
THERAGRAN-M,CHOLECALCIFEROL
THERAGRAN-M,THIAMINE MONONITRATE
THERAGRAN-M,RIBOFLAVIN
THERAGRAN-M,PYRIDOXINE HYDROCHLORIDE
THERAGRAN-M,KOMBINASI-CYANOCOBALAMIN U.S.P. 1 RESIN ADSORBATE
THERAGRAN-M,NICOTINAMIDE
THERAGRAN-M,CALCIUM PANTOTHENATE
THERAGRAN-M,SODIUM ASCORBATE
THERAGRAN-M,TOCOPHERYL ACETATE
THERAGRAN-M,POTASSIUM IODIDE
THERAGRAN-M,FERROUS FUMARATE
THERAGRAN-M,COPPER SULFATE
THERAGRAN-M,MANGANESE SULFATE
THERAGRAN-M,MAGNESIUM CARBONATE
THERAGRAN-M,ZINC SULFATE MONOHYDRATE
THERAGRAN-M,CYANOCOBALAMIN
DRAMAMINE,DIMENHYDRINATE
BODREX BATUK,GUAIFENESIN
BODREX BATUK,DEXTROMETHORPHAN HYDROBROMIDE
BODREX BATUK,BROMHEXINE HYDROCHLORIDE
BODREXIN FLU & BATUK TIDAK BERDAHAK DPH,PARACETAMOL
BODREXIN FLU & BATUK TIDAK BERDAHAK DPH,CHLORPHENAMINE MALEATE
BODREXIN FLU & BATUK TIDAK BERDAHAK DPH,DIPHENHYDRAMINE HYDROCHLORIDE
BODREXIN FLU & BATUK TIDAK BERDAHAK DPH,PHENYLEPHRINE HYDROCHLORIDE
DBL CYTARABINE INJECTION,CYTARABINE
BODREXIN DEMAM FORTE,PARACETAMOL
BODREX FLU & BATUK BERDAHAK PE,PARACETAMOL
BODREX FLU & BATUK BERDAHAK PE,GUAIFENESIN
BODREX FLU & BATUK BERDAHAK PE,PHENYLEPHRINE HYDROCHLORIDE
BODREX FLU & BATUK BERDAHAK PE,BROMHEXINE HYDROCHLORIDE
NEO RHEUMACYL ANTI INFLAMMATION IBP,IBUPROFEN
BODREXIN BATUK PILEK,DEXTROMETHORPHAN HYDROBROMIDE
BODREXIN BATUK PILEK,PHENYLEPHRINE HYDROCHLORIDE
BODREXIN BATUK PILEK,GUAIFENESIN
BODREXIN BATUK PILEK,BROMHEXINE HYDROCHLORIDE
BODREXIN BATUK PILEK,CHLORPHENAMINE MALEATE
BODREXIN FLU PE,PARACETAMOL
BODREXIN FLU PE,PHENYLEPHRINE HYDROCHLORIDE
BODREXIN FLU PE,CHLORPHENAMINE MALEATE
NEODULAX,BISACODYL
DBL DACARBAZINE,DACARBAZINE
SCANIDIN,DIPHENHYDRAMINE HYDROCHLORIDE
SCANIDIN,DEXTROMETHORPHAN HYDROBROMIDE
DBL GEMCITABINE,GEMCITABINE HYDROCHLORIDE
NODROF PE,DIPHENHYDRAMINE HYDROCHLORIDE
NODROF PE,PHENYLEPHRINE HYDROCHLORIDE
NODROF PE,PARACETAMOL
NODROF FLU EXPECTORANT,PHENYLPROPANOLAMINE HYDROCHLORIDE
NODROF FLU EXPECTORANT,GUAIFENESIN
NODROF FLU EXPECTORANT,CHLORPHENAMINE MALEATE
NODROF FLU EXPECTORANT,PARACETAMOL
BODREX MIGRA,PARACETAMOL
BODREX MIGRA,PROPYPHENAZONE
BODREX MIGRA,CAFFEINE
NODROF,PHENYLPROPANOLAMINE HYDROCHLORIDE
NODROF,PARACETAMOL
SCANAFLAM 25,DICLOFENAC POTASSIUM
NEO RHEUMACYL,PARACETAMOL
NEO RHEUMACYL,IBUPROFEN
DOLO SCANNEURON,METAMIZOLE SODIUM
DOLO SCANNEURON,THIAMINE MONONITRATE
DOLO SCANNEURON,PYRIDOXINE HYDROCHLORIDE
DOLO SCANNEURON,CYANOCOBALAMIN
BODREX,CAFFEINE
BODREX,PARACETAMOL
HEMAVITON NEURO,THIAMINE MONONITRATE
HEMAVITON NEURO,PYRIDOXINE HYDROCHLORIDE
HEMAVITON NEURO,CYANOCOBALAMIN
NODROF PE ANTITUSSIVE,PARACETAMOL
NODROF PE ANTITUSSIVE,PHENYLEPHRINE HYDROCHLORIDE
NODROF PE ANTITUSSIVE,DEXTROMETHORPHAN HYDROBROMIDE
NODROF PE ANTITUSSIVE,CHLORPHENAMINE MALEATE
SUCRALFATE,SUCRALFATE
DOMEDON,DOMPERIDONE MALEATE
NODROF FLU PE EXPECTORANT,PARACETAMOL
NODROF FLU PE EXPECTORANT,PHENYLEPHRINE HYDROCHLORIDE
NODROF FLU PE EXPECTORANT,GUAIFENESIN
NODROF FLU PE EXPECTORANT,CHLORPHENAMINE MALEATE
VERCURE,BETAHISTINE MESILATE
SCANOVIR,ACICLOVIR
BELVAS 5,AMLODIPINE BESILATE
BELVAS 10,AMLODIPINE BESILATE
HEMAVITON NEURO FORTE,THIAMINE MONONITRATE
HEMAVITON NEURO FORTE,PYRIDOXINE HYDROCHLORIDE
HEMAVITON NEURO FORTE,CYANOCOBALAMIN
BODREX FLU & BATUK NIGHT,PARACETAMOL
BODREX FLU & BATUK NIGHT,PHENYLEPHRINE HYDROCHLORIDE
BODREX FLU & BATUK NIGHT,DIPHENHYDRAMINE HYDROCHLORIDE
BODREX FLU & BATUK NIGHT,DEXCHLORPHENIRAMINE MALEATE
NEO RHEUMACYL NEURO,IBUPROFEN
NEO RHEUMACYL NEURO,THIAMINE MONONITRATE
NEO RHEUMACYL NEURO,PYRIDOXINE HYDROCHLORIDE
NEO RHEUMACYL NEURO,CYANOCOBALAMIN
BODREXIN IBP,IBUPROFEN
RISINA,CETIRIZINE HYDROCHLORIDE
DOLOS,MEFENAMIC ACID
TROZIN 500,AZITHROMYCIN DIHYDRATE
TEMPOVATE,CLOBETASOL PROPIONATE
NEO RHEUMACYL HEAD ON,PARACETAMOL
NEO RHEUMACYL HEAD ON,CAFFEINE
NEO RHEUMACYL HEAD ON,DEXCHLORPHENIRAMINE MALEATE
NEO RHEUMACYL HEAD ON,PROPYPHENAZONE
GLICAB,GLICLAZIDE
BODREX COUGH & COLD NC,PARACETAMOL
BODREX COUGH & COLD NC,PHENYLEPHRINE HYDROCHLORIDE
BODREX COUGH & COLD NC,NOSCAPINE
SCANDEXON,DEXAMETHASONE
MUCOXOL,AMBROXOL HYDROCHLORIDE
SCANDENE,PIROXICAM
BETAMETHASONE DIPROPIONATE,BETAMETHASONE DIPROPIONATE
FAVIPIRAVIR,FAVIPIRAVIR
FAVISCAN,FAVIPIRAVIR
MYORI,EPERISONE HYDROCHLORIDE
BODREXIN FLU & PILEK PE,PHENYLEPHRINE HYDROCHLORIDE
BODREXIN FLU & PILEK PE,CHLORPHENAMINE MALEATE
BODREXIN FLU & PILEK PE,PARACETAMOL
GLIFORMIN 500,METFORMIN HYDROCHLORIDE
NODROF FLU ANTITUSSIVE,PARACETAMOL
NODROF FLU ANTITUSSIVE,PHENYLPROPANOLAMINE HYDROCHLORIDE
NODROF FLU ANTITUSSIVE,CHLORPHENAMINE MALEATE
NODROF FLU ANTITUSSIVE,DEXTROMETHORPHAN HYDROBROMIDE
AEROTAMOL 100 MCG,SALBUTAMOL SULFATE
SCANTOMA,BISMUTH SUBSALICYLATE
SPOREX,KETOCONAZOLE
SCANDERMA,BETAMETHASONE DIPROPIONATE
POTASSIUM L-ASPARTATE,POTASSIUM L-ASPARTATE
SCANDERMA PLUS,BETAMETHASONE DIPROPIONATE
SCANDERMA PLUS,NEOMYCIN SULFATE
SCANDERMA PLUS,BACITRACIN ZINC
AERONIDE,BUDESONIDE
DBL OXALIPLATIN,OXALIPLATIN
AZITHROMYCIN,AZITHROMYCIN DIHYDRATE
BODREX FLU & BATUK PE,PHENYLEPHRINE HYDROCHLORIDE
BODREX FLU & BATUK PE,PARACETAMOL
BODREX FLU & BATUK PE,DEXTROMETHORPHAN HYDROBROMIDE
DBL CARBOPLATIN,CARBOPLATIN
DBL GLYCERYL TRINITRATE CONCENTRATE INJECTION,GLYCERYL TRINITRATE
ZIDIAR,ZINC SULFATE MONOHYDRATE
NEO RHEUMACYL ANTI INFLAMMATION,DICLOFENAC DIETHYLAMINE
ALLERCYL KIDS,CETIRIZINE HYDROCHLORIDE
GITAFAT,SUCRALFATE
TRIPTAGIC,SUMATRIPTAN SUCCINATE
ALLERCYL,CETIRIZINE HYDROCHLORIDE
SCANAFLAM 50,DICLOFENAC POTASSIUM
SCANCOX 120,ETORICOXIB
SCANCOX 60,ETORICOXIB
SCANCOX 90,ETORICOXIB
BODREX FLU,PARACETAMOL
BODREX FLU,PHENYLEPHRINE HYDROCHLORIDE
SCANMECOB 500,MECOBALAMIN
ALIF 500,NAPROXEN SODIUM
GLIFORMIN SR 750,METFORMIN HYDROCHLORIDE
BODREX EXTRA,PARACETAMOL
BODREX EXTRA,CAFFEINE
BODREX EXTRA,IBUPROFEN
ERICAF,ERGOTAMINE TARTRATE
ERICAF,CAFFEINE
BODREXIN FLU & BATUK PE,PARACETAMOL
BODREXIN FLU & BATUK PE,PHENYLEPHRINE HYDROCHLORIDE
BODREXIN FLU & BATUK PE,GUAIFENESIN
BODREXIN FLU & BATUK PE,CHLORPHENAMINE MALEATE
BODREXIN FLU & BATUK PE,BROMHEXINE HYDROCHLORIDE
BODREXIN DEMAM (RASA JERUK),PARACETAMOL
BODREXIN,ACETYLSALICYLIC ACID
KETOCONAZOLE,KETOCONAZOLE
ZADAXIN,THYMALFASIN
BODREX FLU & BATUK,PARACETAMOL
BODREX FLU & BATUK,PHENYLEPHRINE HYDROCHLORIDE
BODREX FLU & BATUK,DEXTROMETHORPHAN HYDROBROMIDE
BODREX FLU & BATUK,GUAIFENESIN
KALIPAR,POTASSIUM L-ASPARTATE
NARIZ,CINNARIZINE
SCANDENE PLUS,PIROXICAM
SCANDENE PLUS,METHYL SALICYLATE
SCANDENE PLUS,EUGENOL
SCANDENE PLUS,MENTHOL
BODREX PILEK ALERGI,GUAIFENESIN
BODREX PILEK ALERGI,PHENYLEPHRINE HYDROCHLORIDE
BODREX PILEK ALERGI,CHLORPHENAMINE MALEATE
BODREX PILEK,GUAIFENESIN
BODREX PILEK,PHENYLEPHRINE HYDROCHLORIDE
BODREXIN PILEK ALERGI PE,PHENYLEPHRINE HYDROCHLORIDE
BODREXIN PILEK ALERGI PE,CHLORPHENAMINE MALEATE
LAPROTON,"KOMBINASI-LANSOPRAZOLE PELLETS 8,5"
VAXIGRIP TETRA NH,"B/BRISBANE/60/2008-LIKE STRAIN (B/BRISBANE/60/2008, WILD TYPE)"
VAXIGRIP TETRA NH,"A/MICHIGAN/45/2015 (H1N1)PDM09 - LIKE STRAIN (A/MICHIGAN/45/2015, NYMC X-275)"
VAXIGRIP TETRA NH,"B/PHUKET/3073/2013-LIKE STRAIN (B/PHUKET/3073/2013, WILD TYPE)"
VAXIGRIP TETRA NH,"A/HONG KONG/4801/2014 (H3N2)-LIKE STRAIN (A/HONG KONG/4801/2014, NYMC X-263B)"
VAXIGRIP TETRA SH,"B/PHUKET/3073/2013-LIKE VIRUS (B/PHUKET/3073/2013, WILD TYPE)"
VAXIGRIP TETRA SH,"B/COLORADO/06/2017-LIKE VIRUS (B/MARYLAND/15/2016, BX-69A (VICTORIA LINEAGE))"
VAXIGRIP TETRA SH,"A/MICHIGAN/45/2015 (H1N1)PDM09-LIKE VIRUS (A/MICHIGAN/45/2015, NYMC X-275)"
VAXIGRIP TETRA SH,"A/SWITZERLAND/8060/2017 (H3N2)-LIKE VIRUS (A/BRISBANE/1/2018, X-311)"
NASACORT AQ,TRIAMCINOLONE ACETONIDE
FLAGYSTATIN,METRONIDAZOLE
FLAGYSTATIN,NYSTATIN
HEXAXIM,DIPHTERIA TOXOID
HEXAXIM,TETANUS TOXOID
HEXAXIM,PERTUSSIS TOXOID
HEXAXIM,FILAMENTOUS HAEMAGGLUTININ
HEXAXIM,INACTIVATED POLIOMYELITIS VIRUS TYPE 1 (MAHONEY)
HEXAXIM,INACTIVATED POLIOMYELITIS VIRUS TYPE 2 (MEF STRAIN)
HEXAXIM,INACTIVATED POLIOMYELITIS VIRUS TYPE 3 (SAUKETT STRAIN)
HEXAXIM,HEPATITIS B SURFACE ANTIGEN
HEXAXIM,HAEMOPHILUS INFLUENZAE TYPE B POLYSACCHARIDE CONJUGATED TO TETANUS TOXOID
PROFENID,KETOPROFEN
RENVELA,SEVELAMER CARBONATE
IMOJEV,LIVE ATTENUATED RECOMBINANT JAPANESE ENCEPHALITIS VIRUS
RHINATHIOL,CARBOCISTEINE
APROVEL,IRBESARTAN
COAPROVEL,IRBESARTAN
COAPROVEL,HYDROCHLOROTHIAZIDE
TELFAST PLUS,FEXOFENADINE HYDROCHLORIDE
TELFAST PLUS,PSEUDOEPHEDRINE HYDROCHLORIDE
XATRAL XL,ALFUZOSIN HYDROCHLORIDE
MYOZYME,ALGLUCOSIDASE ALFA
TRIATEC,RAMIPRIL
VIVAXIM,TYPHOID VI POLYSACCHARIDE
VIVAXIM,INACTIVATED HEPATITIS A VIRUS
TELFAST,FEXOFENADINE HYDROCHLORIDE
TELFAST BD,FEXOFENADINE HYDROCHLORIDE
LASIX,FUROSEMIDE
FLUDARA,FLUDARABINE PHOSPHATE
TETRAXIM,TETANUS TOXOID
TETRAXIM,DIPHTERIA TOXOID
TETRAXIM,PERTUSSIS TOXOID
TETRAXIM,FILAMENTOUS HAEMAGGLUTININ
TETRAXIM,INACTIVATED POLIOMYELITIS VIRUS TYPE 1 (MAHONEY STRAIN)
TETRAXIM,INACTIVATED POLIOMYELITIS VIRUS TYPE 2 (MEF STRAIN)
TETRAXIM,INACTIVATED POLIOMYELITIS VIRUS TYPE 3 (SAUKETT STRAIN)
MENQUADFI,MENINGOCOCCAL POLYSACCHARIDE GROUP C CONJUGATED TO TETANUS TOXOID
MENQUADFI,MENINGOCOCCAL POLYSACCHARIDE GROUP Y CONJUGATED TO TETANUS TOXOID
MENQUADFI,MENINGOCOCCAL POLYSACCHARIDE GROUP W-135 CONJUGATED TO TETANUS TOXOID
MENQUADFI,MENINGOCOCCAL POLYSACCHARIDE GROUP A CONJUGATED TO TETANUS TOXOID
ZENON,EZETIMIBE
